N_ppm,P_ppm,K_ppm,soil_moisture,soil_ph,temperature,humidity,rainfall,soil_type,crop,fertilizer,irrigation_mm
64.7,34.06,51.18,33.01,7.87,36.13,79.29,56.38,Sandy,tomato,None,4.77
76.12,2.95,37.22,47.78,6.89,25.97,91.64,57.14,Clay,shallot,SP-36,0.2
65.86,27.15,39.81,60.0,5.93,21.6,60.04,1.98,Loamy,shallot,Organik,0.0
43.56,42.27,45.35,51.57,6.52,35.05,71.44,28.81,Sandy,chili,None,0.92
65.53,51.5,57.59,35.13,5.58,29.49,76.73,15.67,Loamy,shallot,None,2.37
25.16,39.26,25.83,30.3,6.9,28.48,68.53,98.63,Sandy,shallot,Urea,1.92
84.72,32.72,33.91,26.09,6.31,25.18,66.15,72.12,Clay,rice,None,3.6
51.31,56.84,41.46,60.95,5.67,34.1,99.7,16.53,Loamy,chili,None,0.95
49.96,23.99,60.24,41.03,5.52,25.56,70.13,14.03,Silt,tomato,None,1.96
73.18,34.08,53.51,29.88,6.52,27.49,42.04,58.92,Peat,tomato,KCl,4.46
123.97,25.03,22.47,38.87,7.42,25.51,100.0,323.44,Sandy,tomato,KCl,0.0
31.12,38.21,70.84,28.58,,35.14,70.82,23.86,Loamy,chili,None,5.35
56.12,27.22,40.46,44.83,5.89,34.32,64.78,76.34,Loamy,shallot,None,3.86
67.57,47.31,48.62,37.12,5.68,25.63,78.09,5.09,Sandy,shallot,None,2.92
40.79,34.6,43.49,38.68,6.57,22.37,92.07,249.8,Sandy,chili,None,0.0
57.47,56.62,44.76,45.4,6.0,21.67,100.0,97.0,Clay,tomato,None,0.0
77.43,32.04,49.51,53.01,6.29,33.99,91.62,52.68,Silt,shallot,None,0.58
89.03,14.85,24.91,65.08,6.62,32.07,88.12,13.88,Sandy,maize,SP-36,1.64
46.02,39.62,35.06,41.52,6.26,26.4,73.98,64.17,Loamy,tomato,None,1.36
98.57,21.02,60.7,32.72,4.2,24.73,93.83,40.62,Peat,tomato,Kapur-Dolomit,2.02
29.9,36.33,51.34,48.55,6.5,27.08,86.36,27.6,Loamy,chili,Urea,0.8
68.76,,59.5,36.33,6.49,32.57,77.26,52.76,Silt,rice,Kapur-Dolomit,2.46
48.18,27.8,67.18,65.78,6.02,26.51,95.88,42.8,Clay,rice,Organik,1.41
54.82,16.29,25.88,53.43,5.88,30.15,74.5,9.93,Clay,chili,SP-36,1.74
33.73,43.86,48.48,54.09,5.16,28.81,94.07,40.83,Loamy,maize,Urea,0.4
87.88,21.79,48.91,33.56,4.78,25.2,94.49,5.44,,maize,Kapur-Dolomit,1.64
67.63,25.65,52.55,,6.76,28.82,86.35,10.53,Sandy,rice,None,3.03
41.44,22.77,42.07,24.4,5.86,26.75,53.63,,Silt,chili,None,4.57
39.51,45.34,35.06,48.71,6.87,31.06,85.99,48.6,Loamy,maize,None,2.53
61.52,37.96,56.25,47.09,6.51,32.56,95.78,285.02,Peat,maize,None,0.0
70.73,31.5,33.57,58.88,7.38,34.64,63.94,52.48,Clay,chili,None,1.59
54.28,0.58,5.54,28.87,6.45,30.63,100.0,6.39,Clay,shallot,SP-36,3.84
30.22,15.49,53.42,25.48,6.2,26.18,55.35,85.84,Sandy,tomato,SP-36,3.17
24.63,37.43,65.28,50.04,7.88,31.98,77.9,25.01,Loamy,maize,Urea,1.25
61.44,43.77,18.32,65.79,5.57,34.86,79.43,214.16,Clay,chili,KCl,1.07
55.25,9.48,33.95,13.87,5.06,25.87,,283.53,Silt,maize,SP-36,1.05
85.07,14.15,60.04,,5.58,26.03,82.84,4.75,Silt,tomato,SP-36,1.27
63.58,30.6,10.73,53.74,7.89,25.11,73.59,98.83,Peat,tomato,KCl,0.0
60.86,31.98,51.04,31.27,4.73,24.14,73.24,123.11,Loamy,maize,Kapur-Dolomit,1.61
62.35,64.18,37.71,45.65,6.24,26.61,75.94,37.2,Peat,tomato,None,0.55
37.72,42.76,48.03,29.01,6.1,26.93,52.54,36.37,Clay,chili,None,3.41
107.15,40.84,36.89,32.2,6.82,31.92,66.7,135.74,Silt,shallot,None,2.74
100.68,15.29,30.77,38.54,6.71,37.73,71.43,199.92,Loamy,tomato,SP-36,1.6
40.3,29.32,19.78,40.06,5.73,33.34,78.94,33.34,Silt,maize,KCl,2.51
74.29,40.13,23.12,17.95,6.03,18.17,100.0,4.53,Loamy,shallot,KCl,3.59
40.88,31.17,58.56,64.69,7.34,20.72,75.96,266.82,Silt,chili,Organik,0.0
106.95,72.96,45.72,,5.95,30.86,54.98,26.65,Loamy,tomato,None,4.54
39.07,2.22,42.41,36.56,6.48,27.3,62.46,9.67,Loamy,shallot,SP-36,2.79
40.38,28.29,34.36,34.24,7.51,20.99,69.72,199.45,Peat,chili,None,0.44
47.47,59.27,48.1,36.85,6.04,26.86,93.78,79.67,Peat,tomato,None,1.14
61.52,16.39,9.53,,7.26,30.24,74.45,32.41,Loamy,tomato,SP-36,3.57
41.36,29.42,72.08,66.67,6.23,30.05,,7.57,Loamy,shallot,Organik,0.8
83.03,54.22,37.44,79.19,6.52,22.66,67.93,39.81,Clay,shallot,None,0.33
33.89,16.31,34.31,48.19,6.88,31.19,69.9,108.88,Sandy,chili,SP-36,1.5
117.3,17.98,58.04,62.61,6.54,27.24,77.8,,Clay,chili,SP-36,0.0
24.07,46.49,53.52,44.71,3.67,26.21,76.18,141.97,Sandy,maize,Kapur-Dolomit,0.32
71.7,42.78,18.38,27.62,6.34,22.37,66.82,25.27,Clay,shallot,KCl,3.11
62.63,31.57,,95.16,6.89,40.2,70.94,7.89,Clay,rice,KCl,4.9
10.61,34.95,78.8,82.56,,21.43,81.05,318.46,Silt,maize,Urea,0.0
65.4,41.81,37.83,15.52,5.36,30.16,76.88,,Clay,shallot,None,3.24
76.76,40.96,33.99,49.56,7.31,27.47,76.34,46.2,Loamy,maize,None,1.09
88.71,37.84,69.55,39.41,7.31,19.75,91.89,155.47,Sandy,maize,None,0.0
62.2,16.12,22.88,60.3,6.44,36.53,72.22,89.12,Silt,rice,SP-36,2.72
86.74,68.08,33.92,80.96,6.6,21.67,80.73,,Clay,maize,None,0.0
47.59,52.93,36.05,55.77,6.52,21.62,85.92,9.31,Loamy,rice,None,1.03
39.11,46.84,47.89,72.11,7.21,29.16,77.15,146.05,Peat,rice,None,0.25
69.8,24.73,47.25,57.88,6.78,33.18,,245.76,Peat,tomato,None,0.19
88.58,44.49,60.65,30.42,5.78,24.27,77.69,91.08,Clay,rice,None,3.71
17.67,31.24,21.19,36.42,6.75,30.43,64.6,83.33,Sandy,maize,Urea,2.54
37.12,23.3,37.25,46.7,7.55,32.85,87.78,44.96,Loamy,shallot,None,1.99
79.82,14.86,40.95,60.39,4.26,29.11,54.79,75.65,Loamy,chili,Kapur-Dolomit,0.45
42.24,38.07,51.89,49.39,6.33,25.38,89.08,29.66,Silt,chili,None,0.37
64.95,54.47,37.34,70.08,5.84,25.48,60.67,75.14,Peat,shallot,None,0.99
44.0,31.27,53.69,66.14,7.78,27.25,,39.87,Sandy,maize,Organik,0.0
59.77,23.0,51.78,37.94,7.15,30.11,,49.83,Sandy,shallot,None,2.91
64.0,88.24,,61.06,6.25,31.71,61.4,82.27,Loamy,rice,None,1.63
42.25,35.88,25.36,61.25,6.03,28.61,77.47,85.96,Loamy,chili,KCl,0.22
52.33,43.18,,50.37,6.82,28.11,74.56,3.36,Loamy,maize,None,0.83
42.97,25.66,5.81,39.13,6.66,30.94,71.59,7.14,Sandy,maize,KCl,2.08
49.02,8.15,28.99,,6.33,24.98,60.65,107.83,Silt,shallot,SP-36,1.75
30.93,28.41,21.78,15.45,7.64,21.7,71.66,57.18,Sandy,maize,Urea,2.96
13.39,68.6,26.65,30.11,6.56,30.33,56.96,48.32,Sandy,maize,Urea,4.75
,73.16,98.77,39.58,5.94,32.54,75.08,177.77,,chili,None,2.66
29.88,20.37,57.79,55.42,4.61,20.55,87.47,71.88,Sandy,rice,Kapur-Dolomit,1.33
111.31,18.83,35.84,48.15,6.44,23.11,94.47,9.2,Silt,rice,SP-36,1.18
91.23,30.32,36.78,31.19,7.46,22.85,90.7,101.99,Sandy,rice,None,2.59
46.65,12.21,45.42,54.84,6.38,21.91,,19.34,Clay,rice,SP-36,1.88
68.25,31.69,24.98,56.6,4.77,27.83,79.12,58.94,Sandy,rice,Kapur-Dolomit,0.28
79.09,49.98,53.6,47.38,7.33,23.06,100.0,82.72,Silt,tomato,None,0.0
75.26,23.53,43.55,23.76,5.64,27.12,73.93,53.14,Peat,rice,None,4.13
48.26,,36.09,57.47,6.39,25.08,55.3,33.27,Clay,tomato,None,0.32
,64.57,45.03,39.0,4.97,27.93,80.33,75.11,Loamy,chili,None,1.54
41.69,15.23,70.45,67.38,3.79,24.46,78.81,28.82,Clay,chili,Kapur-Dolomit,0.0
58.03,42.17,14.06,36.44,6.65,26.85,64.32,3.87,Peat,shallot,KCl,2.31
84.0,42.56,26.91,30.59,,21.29,71.71,47.51,Sandy,rice,KCl,4.06
35.57,39.41,46.16,42.37,6.59,26.44,69.26,178.98,Loamy,rice,Urea,0.63
45.0,,41.96,47.36,6.63,23.92,97.02,196.05,Sandy,maize,None,0.0
55.37,66.25,0.0,58.45,7.48,16.07,78.45,54.04,Loamy,tomato,KCl,0.0
49.67,51.27,39.93,69.62,7.02,29.44,76.86,108.21,Loamy,chili,None,0.0
47.35,2.57,47.11,33.0,6.95,33.06,74.33,94.48,,chili,SP-36,2.75
87.83,12.74,53.44,71.63,4.28,29.27,63.36,201.45,Loamy,shallot,Kapur-Dolomit,0.0
45.76,38.84,36.02,72.05,7.51,31.27,61.18,135.73,Loamy,tomato,Organik,0.45
51.93,59.06,58.65,51.24,6.69,24.76,78.95,146.21,Loamy,rice,None,0.0
91.08,56.48,47.43,25.63,5.57,26.02,67.81,114.49,Sandy,rice,None,4.05
98.77,42.55,59.0,56.29,6.53,22.06,56.26,13.47,Sandy,shallot,None,1.8
55.27,36.65,34.79,,6.7,37.22,73.88,178.04,Clay,chili,None,2.02
69.35,15.49,60.63,57.9,5.43,26.22,79.47,47.44,,tomato,SP-36,0.0
50.71,60.39,54.24,31.9,7.44,29.08,75.37,22.56,Peat,rice,None,4.77
106.0,43.39,20.85,29.21,,28.75,62.69,,Sandy,tomato,KCl,2.65
66.7,9.14,45.0,52.63,5.05,25.52,85.24,122.07,Clay,maize,SP-36,0.0
110.24,40.9,28.97,80.83,5.43,31.38,71.62,7.53,Loamy,shallot,Organik,1.41
39.05,41.82,,34.86,8.37,30.63,76.95,128.19,Clay,tomato,KCl,2.83
57.19,34.46,,21.96,5.95,28.05,57.96,80.67,Loamy,chili,None,3.85
91.83,4.37,57.37,38.98,5.42,28.2,78.24,192.15,Clay,maize,SP-36,0.0
65.58,42.92,76.73,53.71,5.51,25.24,,171.15,Clay,maize,None,0.0
3.17,24.62,,68.72,5.93,30.02,73.45,42.19,Clay,shallot,Urea,0.28
18.59,57.04,47.52,52.04,6.68,32.47,75.02,101.94,Peat,rice,Urea,1.9
81.19,26.38,59.34,52.31,,32.36,81.6,27.6,Sandy,chili,None,1.35
,43.01,58.86,43.54,7.3,29.08,62.52,35.65,Loamy,rice,None,3.29
53.37,18.49,42.7,34.54,7.25,27.73,83.04,125.59,Sandy,maize,SP-36,0.82
53.78,34.12,66.1,28.19,6.08,27.39,53.76,21.55,Loamy,chili,None,3.9
35.88,41.55,78.27,48.95,,34.55,,,Clay,tomato,None,1.3
44.26,32.21,42.77,37.55,5.25,37.29,75.49,22.54,Sandy,rice,None,4.91
81.09,40.43,71.14,28.77,6.83,26.32,,183.48,Loamy,shallot,None,1.35
,50.92,44.46,53.27,6.53,22.2,81.66,12.69,Clay,chili,None,0.66
117.93,35.46,4.51,45.91,5.38,30.7,58.28,,Clay,tomato,KCl,0.0
92.68,23.18,59.17,26.59,5.79,24.5,76.18,12.06,Silt,rice,None,3.68
83.67,7.37,26.03,48.2,7.04,26.09,69.83,180.46,Loamy,chili,SP-36,0.0
34.2,35.71,52.91,,6.95,24.65,80.12,,Sandy,rice,Urea,4.33
58.17,33.14,14.43,35.26,6.91,23.92,79.62,36.82,Peat,chili,KCl,2.27
,37.49,29.79,18.97,4.86,24.71,,78.62,Clay,shallot,Urea,3.59
77.36,44.31,,59.85,7.17,27.31,75.41,69.65,Loamy,tomato,None,0.0
,38.18,50.94,34.48,5.53,30.91,,25.36,Clay,tomato,None,3.74
44.32,,60.5,59.69,6.18,26.56,85.4,332.39,Clay,maize,None,0.0
79.87,25.82,62.68,39.13,6.92,30.05,93.6,49.42,Sandy,chili,None,2.56
62.42,24.48,66.04,64.28,4.04,31.23,61.85,134.5,Clay,chili,Kapur-Dolomit,0.08
,17.27,13.49,75.95,5.68,23.19,67.19,72.6,Silt,shallot,NPK-16-16-16,0.43
11.03,21.83,63.51,35.54,6.96,29.29,77.12,128.56,Clay,chili,NPK-16-16-16,1.85
62.75,38.75,74.44,30.54,3.88,28.82,63.56,46.02,Sandy,maize,Kapur-Dolomit,3.73
91.6,38.21,57.91,43.8,6.21,28.76,73.91,116.91,Sandy,shallot,None,0.79
72.45,14.7,27.65,,6.09,24.73,85.62,77.15,Silt,shallot,SP-36,0.0
,18.54,,34.44,5.51,26.08,79.5,,Clay,shallot,NPK-16-16-16,0.0
86.77,57.51,9.17,41.15,6.76,24.99,85.9,40.78,Loamy,shallot,KCl,0.62
54.62,18.33,58.56,63.51,7.84,22.19,52.3,150.87,Silt,maize,SP-36,0.0
65.61,5.69,,,5.85,28.59,85.46,308.91,Sandy,tomato,SP-36,0.0
64.14,25.43,33.72,18.33,6.93,27.55,54.31,20.0,Loamy,maize,None,4.65
45.2,51.9,37.2,7.43,5.57,35.44,61.44,31.71,Silt,shallot,None,7.52
70.29,44.77,71.05,51.5,7.85,18.6,64.27,64.01,Loamy,tomato,None,0.62
64.96,3.02,81.55,81.15,6.38,28.15,82.01,52.63,Loamy,maize,SP-36,0.15
51.02,54.04,58.09,31.24,6.49,27.88,67.95,29.2,Clay,chili,None,2.24
36.67,31.4,80.15,79.99,6.56,29.64,65.55,1.81,Loamy,shallot,Organik,2.18
114.18,38.51,40.6,52.53,7.33,26.41,62.89,265.12,Sandy,shallot,None,0.0
79.75,15.34,40.95,40.61,6.98,38.24,68.7,140.65,Peat,shallot,SP-36,3.37
58.34,36.2,22.71,50.49,4.81,31.91,85.48,165.4,Sandy,shallot,Kapur-Dolomit,0.0
11.62,3.48,18.02,52.66,6.7,28.12,90.61,136.64,Peat,rice,NPK-16-16-16,1.23
60.9,22.04,88.17,47.91,5.52,31.68,58.41,,Loamy,chili,None,2.83
91.59,23.27,,55.8,7.6,29.42,56.8,12.08,Clay,tomato,None,1.77
46.84,27.9,48.35,35.62,6.67,28.04,67.89,67.03,Peat,shallot,None,2.5
80.3,24.54,67.07,41.57,5.95,27.56,93.45,20.86,Sandy,tomato,None,1.93
30.99,,,25.47,6.73,30.33,90.35,20.64,Loamy,chili,None,4.43
78.04,52.78,48.53,46.75,7.02,19.36,84.62,1.86,Loamy,tomato,None,0.15
78.6,28.83,48.33,67.71,4.53,33.48,84.28,29.49,Sandy,rice,Kapur-Dolomit,2.63
52.14,42.5,32.52,31.66,,26.36,75.78,,Peat,shallot,None,1.32
71.99,63.1,50.59,22.64,6.24,29.75,72.95,220.49,Sandy,tomato,None,1.97
54.61,45.99,45.63,49.89,7.08,26.13,94.06,134.92,Clay,chili,None,0.0
92.02,,37.05,5.54,7.65,16.37,96.92,109.38,Silt,chili,SP-36,3.22
12.1,8.14,75.76,53.74,,31.8,64.95,10.7,Sandy,tomato,NPK-16-16-16,2.3
64.36,14.7,10.67,37.47,6.0,30.11,78.54,316.38,Silt,shallot,SP-36,0.0
0.0,24.94,,45.3,5.56,23.24,85.47,15.26,Silt,shallot,Urea,1.53
63.02,23.47,44.52,25.89,,32.38,72.96,54.88,Clay,rice,None,5.82
30.95,26.52,,51.21,6.73,23.5,64.49,325.65,Peat,tomato,None,0.0
63.53,51.03,66.57,68.16,6.38,27.16,67.38,33.61,Sandy,tomato,None,0.45
84.8,22.44,59.87,,6.32,21.23,64.64,65.53,Sandy,tomato,None,2.37
94.09,21.43,32.41,61.91,6.49,32.61,79.91,39.69,Loamy,rice,Organik,2.09
86.44,34.75,69.88,40.43,7.27,33.67,73.87,78.57,Loamy,tomato,SP-36,1.98
38.57,58.66,35.05,23.06,6.64,32.76,86.11,198.73,Peat,chili,None,2.6
63.95,61.51,49.41,37.19,6.58,29.98,71.0,34.98,,rice,None,3.49
35.75,27.16,45.25,50.5,4.92,35.61,55.09,127.27,Sandy,chili,Kapur-Dolomit,1.86
28.68,50.33,46.0,52.8,5.09,25.72,78.4,,Loamy,chili,Urea,1.46
86.49,0.77,39.43,61.47,5.0,26.57,50.67,17.21,Sandy,shallot,Urea,1.27
10.23,17.31,40.2,36.51,6.83,29.22,79.92,231.96,Sandy,rice,None,1.31
63.19,38.77,38.12,5.0,7.31,28.94,72.58,175.18,Sandy,maize,None,4.75
57.37,17.44,,56.12,6.22,26.78,100.0,,Loamy,shallot,SP-36,0.0
85.98,41.61,58.78,42.1,4.86,23.51,65.85,114.11,Loamy,maize,None,0.59
,70.06,47.4,51.81,7.66,30.3,80.48,125.92,Clay,maize,None,0.0
48.48,29.14,33.53,61.68,6.13,31.76,53.75,197.77,Clay,tomato,Organik,0.75
8.44,24.31,53.49,,6.31,26.46,77.45,31.4,Clay,chili,Urea,0.07
69.96,37.4,27.32,46.21,4.62,35.8,65.87,75.32,Silt,maize,Kapur-Dolomit,2.65
85.82,45.4,,38.0,5.88,21.5,79.31,19.04,Peat,tomato,None,2.07
43.38,36.39,38.5,72.13,6.56,19.81,71.31,42.74,Loamy,shallot,Organik,0.25
31.23,41.3,58.64,27.23,8.02,27.55,74.71,227.0,Clay,tomato,None,1.39
37.18,43.21,39.79,43.98,8.36,28.84,55.8,57.77,Peat,tomato,None,1.93
,52.76,33.05,76.05,5.49,26.61,84.89,165.45,Loamy,chili,None,0.0
61.79,0.0,23.87,40.05,7.16,25.4,71.56,26.61,Loamy,shallot,SP-36,1.38
49.18,14.17,45.52,26.54,5.18,35.75,92.15,18.71,Loamy,tomato,SP-36,5.95
107.88,22.44,25.6,42.52,6.94,26.82,77.53,37.73,Loamy,shallot,KCl,0.78
62.05,69.06,12.8,24.79,6.03,33.83,97.62,93.55,Sandy,maize,KCl,4.12
65.67,72.22,11.14,47.96,6.21,27.52,75.96,14.51,Clay,rice,KCl,1.43
18.85,34.46,41.25,60.76,6.43,30.11,77.47,32.13,Loamy,shallot,Urea,0.24
94.59,41.2,26.09,32.98,6.05,26.43,76.29,5.05,Clay,tomato,KCl,2.74
,33.52,77.0,,6.17,31.47,83.12,77.2,Loamy,shallot,None,0.05
36.08,26.11,61.17,29.92,4.87,32.29,78.34,49.81,Sandy,maize,Kapur-Dolomit,3.38
81.27,,12.37,78.71,7.95,19.74,79.03,92.31,Silt,tomato,KCl,0.0
69.12,12.92,53.22,64.54,6.57,27.75,55.72,40.95,Sandy,maize,SP-36,2.42
21.59,,28.24,16.53,5.64,25.05,85.93,36.66,Loamy,rice,Urea,5.52
29.81,47.36,51.01,29.8,7.98,24.83,76.86,31.94,Loamy,chili,Urea,2.95
45.76,63.67,31.49,44.02,6.09,22.83,67.02,142.08,Loamy,maize,None,0.0
50.85,37.36,30.58,11.69,6.69,27.51,95.81,41.42,Sandy,chili,None,4.97
77.09,28.55,45.29,51.2,7.24,23.79,61.81,62.06,Loamy,tomato,None,0.8
93.07,16.6,0.0,50.3,6.18,25.34,86.46,166.43,Peat,shallot,SP-36,0.0
95.86,83.91,31.98,50.79,4.67,33.64,85.73,159.96,Sandy,shallot,Kapur-Dolomit,0.71
23.75,30.55,28.67,29.72,6.31,30.49,71.97,207.55,Silt,chili,Kapur-Dolomit,2.56
59.44,9.2,50.26,61.08,8.48,34.02,83.56,7.51,Sandy,tomato,SP-36,2.31
64.7,9.79,59.21,25.07,7.06,29.84,65.72,34.85,Clay,tomato,SP-36,4.04
106.73,36.64,24.63,69.79,6.18,27.25,,17.14,Loamy,shallot,KCl,1.13
52.32,44.42,19.98,38.54,6.94,30.63,77.45,32.05,Sandy,tomato,KCl,2.77
71.44,25.2,76.55,65.48,5.61,32.56,85.45,76.18,Sandy,chili,Organik,0.0
50.13,66.15,22.51,48.11,5.62,31.53,71.78,19.68,Clay,maize,KCl,2.44
69.95,48.46,30.59,35.22,8.48,27.03,85.58,45.01,Sandy,maize,None,1.03
